City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Hobart,-42.8794,147.3294,69.66,55,20,4.61,few clouds
156,Dossor,47.5272,52.9811,66.51,23,1,11.5,clear sky
157,Hermanus,-34.4187,19.2345,55.98,67,17,6.62,few clouds
158,Hofn,64.2539,-15.2082,50.88,80,100,4.47,overcast clouds
159,Freeport,40.6576,-73.5832,74.3,84,0,16.11,clear sky
160,Port Macquarie,-31.4333,152.9167,62.89,88,75,12.66,light rain
161,Naustdal,61.509,5.7168,57.06,92,100,4.34,overcast clouds
162,Natalio,-26.7167,-55.0833,57.76,98,0,2.39,clear sky
163,Lompoc,34.6391,-120.4579,70.57,89,100,9.22,overcast clouds
164,San Quintin,30.4833,-115.95,71.1,73,12,17.58,few clouds
165,Maniitsoq,65.4167,-52.9,40.48,95,100,20.13,light rain
166,Goure,13.9835,10.2704,82.69,45,22,3.06,few clouds
167,Chapais,49.7834,-74.8492,53.38,96,64,8.12,broken clouds
168,Guerrero Negro,27.9769,-114.0611,73.98,75,100,12.17,overcast clouds
169,Ponta Do Sol,32.6667,-17.1,74.03,85,8,3.67,clear sky
170,Batavia,41.85,-88.3126,69.17,57,0,21.85,clear sky
171,Kailua,21.4022,-157.7394,87.78,67,0,13.8,clear sky
172,Shingu,33.7333,135.9833,71.08,93,100,17.74,light rain
173,Baiyin,36.5583,104.2081,61.59,22,2,0.87,clear sky
174,Cabo San Lucas,22.8909,-109.9124,83.05,84,0,8.05,clear sky
175,Soverato,38.685,16.5499,64.35,63,49,5.03,scattered clouds
176,Butaritari,3.0707,172.7902,82.09,70,99,8.88,overcast clouds
177,Pisco,-13.7,-76.2167,60.85,77,100,5.75,overcast clouds
178,Aasiaat,68.7098,-52.8699,31.19,91,100,10.25,light snow
179,Shache,38.4167,77.2406,65.71,45,84,8.52,broken clouds
180,Georgetown,5.4112,100.3354,81.9,86,20,5.75,few clouds
181,Waingapu,-9.6567,120.2641,88.43,56,8,12.12,clear sky
182,Olenino,56.2092,33.4889,45.36,96,100,7.52,overcast clouds
183,Karratha,-20.7377,116.8463,83.79,20,0,1.52,light rain
184,Katsuura,35.1333,140.3,72.57,69,99,19.42,overcast clouds
185,Jaypur,18.85,82.5833,73.67,92,82,4.63,broken clouds
186,Kommunisticheskiy,61.6789,64.4819,41.29,78,0,10.58,clear sky
187,Polson,47.6936,-114.1632,59.77,59,6,0.81,clear sky
188,Goderich,43.7501,-81.7165,67.91,63,98,14.97,overcast clouds
189,Leeton,-34.5667,146.4,68.9,57,7,10.18,clear sky
190,Avera,33.194,-82.5271,74.71,55,0,1.86,clear sky
191,Tuatapere,-46.1333,167.6833,57.83,57,22,3.87,few clouds
192,Erdenet,49.0333,104.0833,42.3,61,10,2.73,clear sky
193,Pontian Kecil,1.4801,103.3899,73.72,86,63,11.72,heavy intensity rain
